assay_id,uniprot_id,taxon,coarse_selection_type,model,score_column,modality,evaluation_type,spearman,rmse,mae,r2,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd,test_rows
R1AB_SARS2_Flynn_2022,R1AB_SARS2,Virus,OrganismalFitness,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.23035840964742305,13.598433233908956,13.402629760823661,-1060.9800081556757,0.1,0.1343804537521815,0.8619674351645544,0.5284740042383684,0.0,5725
RAD_ANTMA_Tsuboyama_2023_2CJJ,RAD_ANTMA,Eukaryote,Stability,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.18227956497867112,7.196742638210491,6.40968890363767,-106.06218693339557,0.1,0.1282051282051282,-0.02039365002559589,0.4444041928888129,0.7165791682988939,774
RASH_HUMAN_Bandaru_2017,RASH_HUMAN,Human,Activity,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.241249670692889,14.283039851529416,14.033809499604079,-2213.0265073079127,0.1,0.07643312101910828,0.010900347277070063,0.44825208057929355,8.170722420546868,3134
RASK_HUMAN_Weng_2022_abundance,RASK_HUMAN,Human,Expression,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.0950169180905842,13.594749247018068,13.390152102345285,-1377.0881475856734,0.1,0.08794788273615635,-0.28976143210210337,0.11458514023713759,0.266536618402163,3066
RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN,Human,Binding,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.3541418098553919,13.647267804131246,13.456755781322304,-1561.929103456379,0.1,0.18122977346278318,-0.03184534446986095,0.595663143787103,0.0,3084
RBP1_HUMAN_Tsuboyama_2023_2KWH,RBP1_HUMAN,Human,Stability,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.2744047308224206,8.81824749826212,8.159402963440039,-147.71667921652727,0.1,0.1836734693877551,0.10857760300131455,0.5875305881165891,0.0,975
RCD1_ARATH_Tsuboyama_2023_5OAO,RCD1_ARATH,Eukaryote,Stability,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.3574227885888478,6.371529185682616,5.4919506680086,-98.71045149150814,0.1,0.08080808080808081,0.08327483416902458,0.5867441059237385,0.9305643918481041,988
RCRO_LAMBD_Tsuboyama_2023_1ORC,RCRO_LAMBD,Virus,Stability,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.4568476094487285,4.546079117001605,3.7810198250187503,-11.406903007298506,0.1,0.1,-0.6171422844409561,0.3403807061930663,0.18330266645202425,1195
RD23A_HUMAN_Tsuboyama_2023_1IFY,RD23A_HUMAN,Human,Stability,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.410422028763137,9.843005301957934,9.485185833174423,-84.26922492778647,0.1,0.175,-0.14185398162067683,0.7425350688740451,0.3416056805974751,798
RDRP_I33A0_Li_2023,RDRP_I33A0,Virus,OrganismalFitness,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.30917158010514245,10.335401160134964,9.949000303223515,-258.9402423541199,0.1,0.2248126561199001,-1.0898925922308746,0.48450356889882223,0.5767760300286721,12003
REV_HV1H2_Fernandes_2016,REV_HV1H2,Virus,OrganismalFitness,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.20102751112655864,10.139270032938848,9.583135863249396,-2164.165698632692,0.1,0.11627906976744186,-0.054406271675942836,0.30443935748061246,1.1894975362796414,2147
RFAH_ECOLI_Tsuboyama_2023_2LCL,RFAH_ECOLI,Prokaryote,Stability,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.3695717495797647,7.516672683881436,6.753851986026055,-124.94158676750651,0.1,0.08247422680412371,0.11752506427449882,0.5831831347399595,0.8243555422408777,969
RL20_AQUAE_Tsuboyama_2023_1GYZ,RL20_AQUAE,Prokaryote,Stability,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.3377947448574948,8.485792066378504,7.6361674913561925,-135.82647705336754,0.1,0.11504424778761062,-0.052026546049447064,0.4712542537941621,0.4027819683989566,1121
RL40A_YEAST_Mavor_2016,RL40A_YEAST,Eukaryote,OrganismalFitness,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.2623321130969586,12.026247658465211,11.83446984157335,-4058.7637357664426,0.1,0.15079365079365079,-0.04385334695238096,0.5630391242073038,1.0531187766708978,1253
RL40A_YEAST_Roscoe_2013,RL40A_YEAST,Eukaryote,OrganismalFitness,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.30368472839118604,11.85951519705819,11.668553798604375,-1177.4068458114148,0.1,0.23333333333333334,-0.05661727251727467,0.6022628300940325,0.016614722868483135,1195
RL40A_YEAST_Roscoe_2014,RL40A_YEAST,Eukaryote,Activity,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.20375034106532705,12.959630434794178,12.78638659290592,-879.8252399270774,0.1,0.10869565217391304,0.9434797916231884,0.5127848389100179,0.5368448131499876,1380
RNC_ECOLI_Weeks_2023,RNC_ECOLI,Prokaryote,Activity,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.5194628767355125,9.983271530188395,9.316087495742181,-253.4113896705644,0.1,0.18457943925233644,-0.026142437605140185,0.5589063009844951,0.30144460634067227,4277
