assay_id,uniprot_id,taxon,coarse_selection_type,seed,fold,split,model,calibration_method,nominal_coverage,spearman,rmse,mae,r2,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd,observed_coverage,mean_interval_width,median_interval_width,position_coverage_mean,position_coverage_p10,position_coverage_min,covered_positions,normalized_mean_interval_width,fit_rows,calibration_rows,test_rows,excluded_rows,exact_variant_overlap,shared_position_count
CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,Human,OrganismalFitness,45,3,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.2282573761007906,0.9660054230901903,0.7497363398008465,-0.22499107626955217,0.1,0.2727272727272727,-0.017943463454545436,0.510322163528238,1.6019632992570618,0.793939393939394,2.4182439916255754,2.3772342690176727,0.7658465419660688,0.3375,0.0,28,4.097712915141005,1635,409,330,0,0,0
CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,Human,OrganismalFitness,46,4,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.23477886362090147,1.0391390872695005,0.7506498623191743,-0.7007395459357406,0.1,0.2,0.39881991695666663,0.46418518993529206,3.362919063152583,0.8712273641851107,3.585221443204592,3.77737438058527,0.8668332464564773,0.6431372549019608,0.0,28,6.771056834846826,1501,376,497,0,0,0
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,Human,OrganismalFitness,42,0,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,-0.03580234887796698,0.9524547823277993,0.8481553862831518,-3.5973612654364926,0.1,0.18518518518518517,-0.0847440757808642,0.530351694989764,0.5850064792349982,0.9944029850746269,4.862108176086238,5.04596400367334,0.9945553539019963,1.0,0.8421052631578947,29,6.61569009919162,1487,372,536,0,0,0
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,Human,OrganismalFitness,43,1,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.1645020392841265,0.7211583645866584,0.5717054199959164,-0.4347487040052256,0.1,0.21568627450980393,-0.9801750751601306,0.24498310058953848,0.346658105741321,0.9291338582677166,3.240517106754151,3.401228190008789,0.916702470461869,0.6589473684210526,0.35714285714285715,28,4.757084017132977,1509,378,508,0,0,0
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,Human,OrganismalFitness,44,2,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.3411054015220247,0.6492045397941798,0.5111636422657838,0.12205916476933065,0.1,0.3137254901960784,-0.5155126895588236,0.7358667865187529,0.0,0.9567779960707269,3.2758570245626233,3.4496770836287842,0.9554314708339476,0.8435087719298247,0.7368421052631579,28,4.813605893324111,1508,378,509,0,0,0
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,Human,OrganismalFitness,45,3,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.12787234709552026,0.8141592209227209,0.6584071733903784,-0.1611661118928751,0.1,0.22857142857142856,-0.36238868144285713,0.26021504949130775,0.5837359744215469,0.8947368421052632,2.854222758403058,2.974540099838107,0.888466977700171,0.6541666666666667,0.5294117647058824,28,4.023664696480767,1642,411,342,0,0,0
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,Human,OrganismalFitness,46,4,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.07015151260605042,0.6508371664021838,0.5104737709509799,-0.5344627356224843,0.1,0.08,-0.05636818091,0.3156950725751824,0.4624455594218744,0.96,4.333797560859922,4.499748868013526,0.9591065592903829,0.9437500000000001,0.2777777777777778,28,6.1566596963952,1516,379,500,0,0,0
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,Prokaryote,Activity,42,0,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,-0.002387399613686819,0.7199165206482384,0.5267256532565227,-0.26856455179296623,0.1,0.09815950920245399,-0.31386633254090657,-0.07615307947158187,0.0,0.9969287469287469,13.657411002218005,14.48516449462383,0.9970976711852624,1.0,0.7142857142857143,274,22.42032643082292,5191,1298,1628,0,0,0
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,Prokaryote,Activity,43,1,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.08963089493955043,0.6394305517559455,0.4275835829512322,-0.025626866043110708,0.1,0.09146341463414634,-0.18251741335789887,0.07908028668212584,3.2997778936676463,0.9920294297976702,9.654636753059954,10.190525231326022,0.9927876259993048,1.0,0.42857142857142855,274,15.912665281380832,5188,1298,1631,0,0,0
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,Prokaryote,Activity,44,2,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.04228615293197516,0.618509563871808,0.41285518983583763,-0.12424467708099796,0.1,0.07975460122699386,-0.3044306453825715,-0.05701195129725994,1.7940921876897757,0.995079950799508,9.910272342041013,10.459482300167705,0.9956551963851233,1.0,0.14285714285714285,274,15.848175303879493,5192,1299,1626,0,0,0
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,Prokaryote,Activity,45,3,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.10379288958539373,0.6528820276045709,0.4533366716850881,-0.207826053075588,0.1,0.12269938650306748,-0.2374010032806955,0.17837315869214632,1.33717495270193,0.9963076923076923,10.05994762326723,10.651341293032182,0.9967730682016396,1.0,0.7142857142857143,273,16.26591947708786,5193,1299,1625,0,0,0
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,Prokaryote,Activity,46,4,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.027574909690181292,0.6379592696714111,0.44541181562505205,-0.08351568678262189,0.1,0.11801242236024845,-0.13236910925007822,0.022699641182111287,1.6154306089887307,0.998755444928438,13.48865917995524,14.342660153265646,0.9987789987789987,1.0,0.8333333333333334,273,21.85875214148443,5208,1302,1607,0,0,0
