fold,assay_id,uniprot_id,model,calibration_method,evaluation_type,nominal_coverage,spearman,rmse,mae,r2,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd,observed_coverage,mean_interval_width,median_interval_width,position_coverage_mean,position_coverage_p10,position_coverage_min,covered_positions,test_rows,fit_proteins,calibration_proteins,test_proteins
0,HMDH_HUMAN_Jiang_2019,HMDH_HUMAN,cross_protein_histgb,standard_split,held_out_protein,0.8,0.35851896967460456,0.26927846170659525,0.23004626192530483,0.1298681634558141,0.1,0.15,0.60304,0.3552092158304327,0.027712831350141038,0.77,0.6779826491519093,0.6779826491519094,0.7705749718151071,0.0,0.0,887,1000,108,27,34
0,LGK_LIPST_Klesmith_2015,LGK_LIPST,cross_protein_histgb,standard_split,held_out_protein,0.8,0.584436211353141,0.24043577151338705,0.20297566498881078,0.3062864591601704,0.1,0.4,0.7920549999999998,1.0099770331617117,0.0,0.84,0.6779826491519093,0.6779826491519094,0.8405466970387244,0.5,0.0,439,1000,108,27,34
0,MSH2_HUMAN_Jia_2020,MSH2_HUMAN,cross_protein_histgb,standard_split,held_out_protein,0.8,0.36296507810972944,0.2962065300895103,0.2396863042614439,-0.052869150059768666,0.1,0.14,0.605725,0.3645117280206633,0.0,0.74,0.6779826491519093,0.6779826491519094,0.7429805615550756,0.0,0.0,926,1000,108,27,34
0,NUD15_HUMAN_Suiter_2020,NUD15_HUMAN,cross_protein_histgb,standard_split,held_out_protein,0.8,0.5753530450791042,0.24311202879859786,0.2059177268295989,0.2907577881989448,0.1,0.2,0.7215,0.7655668397289597,0.006928206694379728,0.84,0.6779826491519093,0.6779826491519094,0.8338153666374526,0.5714285714285714,0.0,163,1000,108,27,34
0,ODP2_GEOSE_Tsuboyama_2023_1W4G,ODP2_GEOSE,cross_protein_histgb,standard_split,held_out_protein,0.8,0.6534849048973869,0.2189874731466402,0.18269696940520874,0.42453255347268937,0.1,0.3283582089552239,0.7739553354304709,0.9464211625905349,0.0,0.8968609865470852,0.6779826491519093,0.6779826491519094,0.862434076501414,0.6,0.25,44,669,108,27,34
0,OTU7A_HUMAN_Tsuboyama_2023_2L2D,OTU7A_HUMAN,cross_protein_histgb,standard_split,held_out_protein,0.8,0.6843960825353945,0.21644710488158997,0.17543538747323947,0.4378064152176572,0.1,0.203125,0.7554379921259842,0.8821366158763987,0.0,0.8929133858267716,0.6779826491519093,0.6779826491519094,0.9000903431548058,0.6490196078431373,0.2222222222222222,42,635,108,27,34
0,P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,cross_protein_histgb,standard_split,held_out_protein,0.8,0.5266734738335147,0.2516911093500613,0.2187281241611243,0.23981826550789143,0.1,0.13,0.6411,0.4870529306148947,0.013856413388759457,0.827,0.6779826491519093,0.6779826491519094,0.8265479219677694,0.5,0.0,393,1000,108,27,34
0,P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,cross_protein_histgb,standard_split,held_out_protein,0.8,0.5225462256815031,0.25552304921354374,0.219684840558954,0.21649487234222708,0.1,0.2,0.6869200000000001,0.6457781459831344,0.02424872343032905,0.813,0.6779826491519093,0.6779826491519094,0.8134011874469889,0.5,0.0,393,1000,108,27,34
0,P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,cross_protein_histgb,standard_split,held_out_protein,0.8,0.4974496584343564,0.256154869236009,0.2206543192811271,0.21261540821560587,0.1,0.1,0.6594999999999999,0.5507924322031876,0.003464103347189864,0.807,0.6779826491519093,0.6779826491519094,0.8070398642917725,0.3333333333333333,0.0,393,1000,108,27,34
0,P53_HUMAN_Kotler_2018,P53_HUMAN,cross_protein_histgb,standard_split,held_out_protein,0.8,0.7081646362891302,0.22574486966502594,0.19112747071290928,0.3884704343094798,0.1,0.28,0.77035,0.9347882882391841,0.003464103347189864,0.87,0.6779826491519093,0.6779826491519094,0.8741518569150147,0.6,0.0,190,1000,108,27,34
