assay_id,uniprot_id,taxon,coarse_selection_type,split,model,evaluation_type,target_space,spearman,rmse,mae,r2,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd,test_rows
DYR_ECOLI_Nguyen_2023,DYR_ECOLI,Prokaryote,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.5476168470292608,0.7987574140545884,0.5714545698309568,0.4151946629087686,0.1,0.1678082191780822,0.9883904109589041,0.43588838004994906,0.20980406663246157,2916
DYR_ECOLI_Thompson_2019,DYR_ECOLI,Prokaryote,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.4534678908265834,0.9112053222680518,0.6702902251343461,0.21732153632324225,0.1,0.0970464135021097,-0.09782679324894517,0.3948769644792586,1.5903960305129332,2363
ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,Prokaryote,Activity,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.20942372407701057,1.100987034134329,0.8724241016401427,-0.08825160208668725,0.1,0.08849557522123894,3.445186803444378,0.29832326359088485,0.5840779045968639,1121
ENV_HV1BR_Haddox_2016,ENV_HV1BR,Virus,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.3489327399846222,0.9811568155836093,0.5577007988611705,0.041871437863887806,0.1,0.18492618492618493,0.06617393765834426,0.3590131034391115,0.325931260613953,12863
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,Human,Stability,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.7129028472602783,0.548951505433647,0.42861565410355124,0.7019559825702293,0.1,0.20967741935483872,-0.11890945478849044,0.7133754351534489,0.0,1239
ESTA_BACSU_Nutschel_2020,ESTA_BACSU,Prokaryote,Stability,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.3568195350617571,0.9795329219741107,0.7793286325831055,0.07510935448982103,0.1,0.2706422018348624,47.46646788990826,0.5695241966670859,0.0,2172
FECA_ECOLI_Tsuboyama_2023_2D1U,FECA_ECOLI,Prokaryote,Stability,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.5278969423333111,0.8857914134057607,0.7012557773248564,0.23308699724743975,0.1,0.2786885245901639,-0.026567190518263232,0.7079337797268288,0.6674057875077549,1219
FKBP3_HUMAN_Tsuboyama_2023_2KFV,FKBP3_HUMAN,Human,Stability,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.29790764395467845,0.9997146193400523,0.7269289501848828,0.029317136218590556,0.1,0.14516129032258066,-0.2572232862303813,0.20289575701574186,0.9740410536445977,1237
GAL4_YEAST_Kitzman_2015,GAL4_YEAST,Eukaryote,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.3924724109885781,0.9529869670363215,0.7807868133648201,0.12115075099694339,0.1,0.041666666666666664,-3.3698333333333332,0.2918961261224657,0.5102135955967992,1195
GDIA_HUMAN_Silverstein_2021,GDIA_HUMAN,Human,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.49663086680201174,0.8278170064869532,0.6456877226568457,0.33832375885381727,0.1,0.14655172413793102,0.8761311557758622,0.538233785482288,0.00125787754046669,1154
GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,Eukaryote,Activity,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.1488633043802325,1.0390263768074262,0.6456107211037732,0.019029031240169303,0.1,0.12844036697247707,3.489321450348928,0.0910079609037732,0.19497568032238127,1084
GRB2_HUMAN_Faure_2021,GRB2_HUMAN,Human,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.6528995317231443,0.7562996372876437,0.5997980769410028,0.43971483991614835,0.1,0.2692307692307692,0.0043612871907068125,0.9592530904314407,0.0,1034
HCP_LAMBD_Tsuboyama_2023_2L6Q,HCP_LAMBD,Virus,Stability,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.708383506556212,0.6339310704072828,0.4798717175479808,0.6086163878741156,0.1,0.3942307692307692,0.09003749895248658,0.8321009507707519,0.1236321698355655,1040
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,Human,Stability,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.4456672486211009,0.921879455802884,0.709183825747934,0.1963365742638875,0.1,0.2,-0.3604460969468051,0.5576292119173353,0.37669080899448804,1244
HEM3_HUMAN_Loggerenberg_2023,HEM3_HUMAN,Human,Activity,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.3768171222967499,0.9317687343673676,0.7668470138923772,0.1423953260676042,0.1,0.17398945518453426,0.6853705264147628,0.2569801627576519,0.35139991261731623,5689
HMDH_HUMAN_Jiang_2019,HMDH_HUMAN,Human,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.465017745197868,1.0043598402909357,0.8174748660275981,0.18418134244677398,0.1,0.12930011862396204,0.6143639383155397,0.5091870479470342,0.010225015963498098,16853
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,Eukaryote,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.48729706299570164,0.9422579525285274,0.6227657759331305,0.1800105719713193,0.1,0.13716814159292035,-0.0007466782632743319,0.4750809771141636,0.18645421381643643,2252
HSP82_YEAST_Flynn_2019,HSP82_YEAST,Eukaryote,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.41038034794311495,0.9311501541770296,0.6860986301022793,0.20973574238539894,0.1,0.09699248120300752,-0.00543551146854509,0.47641634144144407,0.9117129470449609,13294
HSP82_YEAST_Mishra_2016,HSP82_YEAST,Eukaryote,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.6100626620753585,0.8934426580653435,0.6066942920569913,0.36362993687233436,0.1,0.21478060046189376,-0.007083536431870671,0.5134570232783106,0.8865426702564257,4323
HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN,Human,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.48907084237309656,0.9412410825422822,0.6703835900303231,0.15655592515517003,0.1,0.12835472578763127,1.0524261905274213,0.5164530799818257,1.2335850511328594,8570
HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN,Human,Expression,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.3737300119410799,0.9365361621535659,0.7239922759306885,0.14545305432156963,0.1,0.17976190476190476,0.875337911529096,0.5125897039666552,0.19049765554339468,8396
I6TAH8_I68A0_Doud_2015,I6TAH8_I68A0,Virus,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.09260285634768353,1.0592960166262082,0.8193723809775361,-0.06977793579700942,0.1,0.09398099260823653,-2.143443418880213,0.00998503883319049,0.4975090521234832,9462
IF1_ECOLI_Kelsic_2016,IF1_ECOLI,Prokaryote,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.4697715775138211,0.8490468891100523,0.6204507510115581,0.3029469787091985,0.1,0.24087591240875914,0.9425225060729928,0.5250280748144248,0.0,1367
ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3_HUMAN,Human,Stability,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.5499917744945736,0.713090244048312,0.5248797783157713,0.5154356756281689,0.1,0.3458646616541353,0.3076380415949117,0.7792762277559869,0.0,1329
ISDH_STAAW_Tsuboyama_2023_2LHR,ISDH_STAAW,Prokaryote,Stability,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.4330533059511231,0.9680126523874685,0.7403826118322978,0.09474185520909872,0.1,0.1702127659574468,-0.4666173591637306,0.28634104735644944,0.24834438124215294,940
